317.740, 129.490, 0.000,  0.000 False
317.740, 129.490, 0.002,  0.023 False
317.740, 129.490, 0.002,  0.056 False
317.740, 129.490, 0.002,  0.089 False
317.739, 129.490, 0.021,  0.122 False
317.738, 129.490, 0.030,  0.155 False
317.737, 129.490, 0.027,  0.188 False
317.737, 129.490, 0.024,  0.221 False
317.736, 129.490, 0.021,  0.254 False
317.735, 129.490, 0.020,  0.287 False
317.734, 129.490, 0.018,  0.320 False
317.734, 129.490, 0.018,  0.353 False
317.733, 129.490, 0.017,  0.386 False
317.732, 129.490, 0.018,  0.419 False
317.732, 129.490, 0.018,  0.452 False
317.731, 129.490, 0.019,  0.485 False
317.730, 129.490, 0.021,  0.518 False
317.729, 129.490, 0.023,  0.551 False
317.728, 129.490, 0.026,  0.584 False
317.727, 129.490, 0.030,  0.617 False
317.726, 129.490, 0.036,  0.650 False
317.724, 129.490, 0.049,  0.683 False
317.721, 129.490, 0.093,  0.716 False
317.715, 129.490, 0.167,  0.749 False
317.706, 129.490, 0.276,  0.782 False
317.694, 129.490, 0.350,  0.815 False
317.683, 129.490, 0.305,  0.848 False
317.670, 129.490, 0.395,  0.881 False
317.657, 129.490, 0.389,  0.914 False
317.644, 129.490, 0.402,  0.947 False
317.630, 129.490, 0.436,  0.980 False
317.614, 129.490, 0.483,  1.013 False
317.597, 129.490, 0.515,  1.046 False
317.579, 129.490, 0.569,  1.079 False
317.559, 129.490, 0.610,  1.112 False
317.537, 129.490, 0.671,  1.145 False
317.511, 129.490, 0.758,  1.178 False
317.485, 129.490, 0.782,  1.211 False
317.458, 129.490, 0.818,  1.244 False
317.431, 129.490, 0.841,  1.277 False
317.403, 129.490, 0.880,  1.310 False
317.373, 129.490, 0.927,  1.343 False
317.341, 129.490, 0.971,  1.376 False
317.308, 129.490, 1.007,  1.409 False
317.274, 129.490, 1.049,  1.442 False
317.239, 129.490, 1.057,  1.475 False
317.203, 129.490, 1.070,  1.508 False
317.167, 129.490, 1.093,  1.541 False
317.130, 129.490, 1.128,  1.574 False
317.091, 129.490, 1.170,  1.607 False
317.051, 129.490, 1.214,  1.640 False
317.010, 129.490, 1.261,  1.673 False
316.966, 129.490, 1.306,  1.706 False
316.922, 129.490, 1.353,  1.739 False
316.875, 129.490, 1.398,  1.772 False
316.827, 129.490, 1.442,  1.805 False
316.778, 129.490, 1.485,  1.838 False
316.728, 129.490, 1.527,  1.871 False
316.676, 129.490, 1.568,  1.904 False
316.622, 129.490, 1.609,  1.937 False
316.568, 129.490, 1.650,  1.970 False
316.512, 129.490, 1.689,  2.003 False
316.454, 129.490, 1.728,  2.036 False
316.396, 129.490, 1.766,  2.069 False
316.336, 129.490, 1.803,  2.102 False
316.275, 129.490, 1.840,  2.135 False
316.213, 129.489, 1.876,  2.168 False
316.149, 129.489, 1.913,  2.201 False
316.085, 129.489, 1.949,  2.234 False
316.019, 129.489, 1.984,  2.267 False
315.952, 129.489, 2.019,  2.300 False
315.884, 129.489, 2.053,  2.333 False
315.815, 129.489, 2.087,  2.366 False
315.744, 129.489, 2.121,  2.399 False
315.673, 129.489, 2.154,  2.432 False
315.600, 129.489, 2.188,  2.465 False
315.526, 129.489, 2.223,  2.498 False
315.451, 129.489, 2.255,  2.531 False
315.376, 129.489, 2.287,  2.564 False
315.299, 129.489, 2.319,  2.597 False
315.220, 129.489, 2.351,  2.630 False
315.141, 129.489, 2.383,  2.663 False
315.061, 129.489, 2.414,  2.696 False
314.980, 129.489, 2.445,  2.729 False
314.898, 129.489, 2.476,  2.762 False
314.814, 129.489, 2.506,  2.795 False
314.730, 129.489, 2.536,  2.828 False
314.645, 129.489, 2.567,  2.861 False
314.558, 129.489, 2.598,  2.894 False
314.471, 129.489, 2.628,  2.927 False
314.383, 129.489, 2.658,  2.960 False
314.294, 129.489, 2.688,  2.993 False
314.203, 129.489, 2.718,  3.026 False
314.112, 129.489, 2.747,  3.059 False
314.020, 129.489, 2.777,  3.092 False
313.926, 129.489, 2.807,  3.125 False
313.832, 129.489, 2.837,  3.158 False
313.737, 129.489, 2.868,  3.191 False
313.640, 129.489, 2.898,  3.224 False
313.543, 129.489, 2.928,  3.257 False
313.444, 129.489, 2.958,  3.290 False
313.345, 129.489, 2.988,  3.323 False
313.245, 129.489, 3.018,  3.356 False
313.143, 129.489, 3.047,  3.389 False
313.041, 129.489, 3.077,  3.422 False
312.938, 129.489, 3.107,  3.455 False
312.833, 129.489, 3.138,  3.488 False
312.728, 129.489, 3.167,  3.521 False
312.622, 129.489, 3.197,  3.554 False
312.514, 129.489, 3.228,  3.587 False
