308.799, 129.492, 4.314,  4.379 False
308.654, 129.492, 4.346,  4.412 False
308.508, 129.492, 4.378,  4.445 False
308.362, 129.492, 4.410,  4.478 False
308.214, 129.492, 4.441,  4.511 False
308.065, 129.492, 4.473,  4.544 False
307.915, 129.492, 4.504,  4.577 False
307.764, 129.492, 4.535,  4.610 False
307.612, 129.492, 4.566,  4.643 False
307.459, 129.492, 4.597,  4.676 False
307.305, 129.492, 4.628,  4.709 False
307.150, 129.492, 4.659,  4.742 False
306.994, 129.493, 4.690,  4.775 False
306.837, 129.493, 4.721,  4.808 False
306.679, 129.493, 4.751,  4.841 False
306.520, 129.494, 4.780,  4.874 False
306.360, 129.497, 4.811,  4.907 False
306.199, 129.500, 4.842,  4.940 False
306.036, 129.504, 4.874,  4.973 False
305.873, 129.507, 4.905,  5.006 False
305.709, 129.510, 4.937,  5.039 False
305.544, 129.512, 4.969,  5.072 False
305.377, 129.516, 4.999,  5.105 False
305.210, 129.520, 5.031,  5.138 False
305.041, 129.523, 5.062,  5.171 False
304.872, 129.528, 5.093,  5.204 False
304.702, 129.533, 5.124,  5.237 False
304.530, 129.538, 5.155,  5.270 False
304.358, 129.543, 5.179,  5.303 False
304.185, 129.547, 5.191,  5.336 False
304.012, 129.552, 5.194,  5.369 False
303.840, 129.558, 5.197,  5.402 False
303.666, 129.563, 5.206,  5.435 False
303.493, 129.568, 5.225,  5.468 False
303.318, 129.573, 5.250,  5.501 False
303.142, 129.579, 5.282,  5.534 False
302.965, 129.585, 5.318,  5.567 False
302.787, 129.591, 5.357,  5.600 False
302.607, 129.597, 5.397,  5.633 False
302.426, 129.603, 5.438,  5.666 False
302.244, 129.610, 5.480,  5.699 False
302.060, 129.617, 5.520,  5.732 False
301.875, 129.623, 5.561,  5.765 False
301.689, 129.631, 5.600,  5.798 False
301.502, 129.638, 5.638,  5.831 False
301.313, 129.646, 5.676,  5.864 False
301.123, 129.654, 5.713,  5.897 False
300.932, 129.662, 5.751,  5.930 False
300.739, 129.670, 5.786,  5.963 False
300.546, 129.678, 5.822,  5.996 False
300.351, 129.686, 5.857,  6.029 False
300.155, 129.695, 5.893,  6.062 False
299.958, 129.703, 5.927,  6.095 False
299.760, 129.711, 5.962,  6.128 False
299.560, 129.720, 5.996,  6.161 False
299.360, 129.728, 6.030,  6.194 False
299.158, 129.737, 6.063,  6.227 False
298.956, 129.746, 6.097,  6.260 False
298.752, 129.755, 6.131,  6.293 False
298.547, 129.764, 6.164,  6.326 False
298.341, 129.773, 6.197,  6.359 False
298.134, 129.782, 6.231,  6.392 False
297.926, 129.792, 6.263,  6.425 False
297.716, 129.801, 6.295,  6.458 False
297.506, 129.811, 6.327,  6.491 False
297.295, 129.821, 6.360,  6.524 False
297.082, 129.831, 6.391,  6.557 False
296.869, 129.842, 6.423,  6.590 False
296.654, 129.853, 6.454,  6.623 False
296.439, 129.864, 6.487,  6.656 False
296.222, 129.876, 6.518,  6.689 False
296.004, 129.887, 6.550,  6.722 False
295.785, 129.899, 6.582,  6.755 False
295.566, 129.912, 6.615,  6.788 False
295.345, 129.925, 6.646,  6.821 False
295.123, 129.939, 6.678,  6.854 False
294.900, 129.952, 6.709,  6.887 False
294.676, 129.966, 6.740,  6.920 False
294.451, 129.981, 6.769,  6.953 False
294.225, 129.995, 6.800,  6.986 False
293.998, 130.010, 6.830,  7.019 False
293.770, 130.024, 6.861,  7.052 False
293.542, 130.039, 6.890,  7.085 False
293.312, 130.055, 6.920,  7.118 False
293.081, 130.070, 6.950,  7.151 False
292.849, 130.086, 6.981,  7.184 False
292.616, 130.102, 7.011,  7.217 False
292.382, 130.118, 7.042,  7.250 False
292.147, 130.134, 7.071,  7.283 False
291.912, 130.151, 7.102,  7.316 False
291.675, 130.168, 7.131,  7.349 False
291.437, 130.185, 7.162,  7.382 False
291.198, 130.203, 7.192,  7.415 False
290.958, 130.220, 7.222,  7.448 False
290.718, 130.238, 7.252,  7.481 False
290.476, 130.256, 7.282,  7.514 False
290.233, 130.275, 7.312,  7.547 False
289.989, 130.293, 7.342,  7.580 False
289.745, 130.312, 7.372,  7.613 False
289.499, 130.331, 7.402,  7.646 False
289.252, 130.350, 7.432,  7.679 False
289.004, 130.368, 7.462,  7.712 False
288.755, 130.387, 7.491,  7.745 False
288.506, 130.406, 7.521,  7.778 False
288.255, 130.424, 7.550,  7.811 False
288.003, 130.443, 7.580,  7.844 False
287.751, 130.461, 7.609,  7.877 False
287.497, 130.480, 7.639,  7.910 False
287.242, 130.498, 7.668,  7.943 False
286.987, 130.517, 7.698,  7.976 False
286.730, 130.535, 7.727,  8.009 False
286.472, 130.554, 7.757,  8.042 False
286.214, 130.572, 7.786,  8.075 False
285.954, 130.590, 7.816,  8.108 False
285.693, 130.608, 7.845,  8.141 False
285.432, 130.626, 7.876,  8.174 False
285.169, 130.643, 7.905,  8.207 False
284.905, 130.660, 7.934,  8.240 False
284.641, 130.676, 7.963,  8.273 False
284.375, 130.692, 7.993,  8.306 False
284.108, 130.708, 8.023,  8.339 False
283.840, 130.723, 8.053,  8.372 False
283.572, 130.737, 8.082,  8.405 False
283.302, 130.750, 8.113,  8.438 False
283.031, 130.763, 8.143,  8.471 False
282.759, 130.775, 8.172,  8.504 False
282.486, 130.786, 8.199,  8.537 False
282.212, 130.795, 8.221,  8.570 False
281.938, 130.804, 8.239,  8.603 False
281.663, 130.813, 8.256,  8.636 False
281.388, 130.823, 8.270,  8.669 False
281.112, 130.832, 8.282,  8.702 False
280.836, 130.841, 8.292,  8.735 False
280.560, 130.850, 8.300,  8.768 False
280.284, 130.859, 8.307,  8.801 False
280.007, 130.867, 8.312,  8.834 False
279.730, 130.875, 8.318,  8.867 False
279.453, 130.883, 8.322,  8.900 False
279.175, 130.890, 8.326,  8.933 False
278.898, 130.898, 8.330,  8.966 False
278.620, 130.904, 8.332,  8.999 False
278.343, 130.910, 8.335,  9.032 False
278.065, 130.916, 8.337,  9.065 False
277.787, 130.921, 8.339,  9.098 False
277.509, 130.927, 8.341,  9.131 False
